Date,Presence %,SL %
2022-04-01 00:00:00,93.59%,0
2022-04-02 00:00:00,0.00%,0
2022-04-03 00:00:00,0.00%,0
2022-04-04 00:00:00,97.44%,0.00641025641025641
2022-04-05 00:00:00,97.44%,0
2022-04-06 00:00:00,94.87%,0
2022-04-07 00:00:00,87.82%,0.02564102564102564
2022-04-08 00:00:00,97.44%,0
2022-04-09 00:00:00,0.00%,0
2022-04-10 00:00:00,0.00%,0
2022-04-11 00:00:00,96.20%,0
2022-04-12 00:00:00,94.87%,0.00641025641025641
2022-04-13 00:00:00,92.21%,0.012987012987012988
2022-04-14 00:00:00,88.31%,0
2022-04-15 00:00:00,88.31%,0
2022-04-16 00:00:00,0.00%,0
2022-04-17 00:00:00,0.00%,0
2022-04-18 00:00:00,96.10%,0
2022-04-19 00:00:00,93.51%,0.012987012987012988
2022-04-20 00:00:00,93.51%,0
2022-04-21 00:00:00,93.51%,0.012987012987012988
2022-04-22 00:00:00,93.51%,0
2022-04-23 00:00:00,0.00%,0
2022-04-24 00:00:00,0.00%,0
2022-04-25 00:00:00,96.10%,0
2022-04-26 00:00:00,96.05%,0
2022-04-27 00:00:00,96.05%,0
2022-04-28 00:00:00,92.11%,0.013157894736842105
2022-04-29 00:00:00,96.05%,0
2022-04-30 00:00:00,0.00%,0
